diaper, nappy, napki nipple      bucket, pail  swing     
fireboat    parachute, chute  fountai   ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
wall clock  radio telescope, radio reflector  airship, dirigible  pencil sharpener
bathtub, bathing tub, bath, tub  tub, vat    mixing bowl  plate     
spotlight, spot  chambered nautilus, pearly nautilus, nautilus  goblet      face powder
daisy       strainer    cup         spotlight, spot
hog, pig, grunter, squealer, Sus scrofa  hippopotamus, hippo, river horse, Hippopotamus amphibius  piggy bank, penny bank  wild boar, boar, Sus scrofa
sewing machine  toaster     sunglasses, dark glasses, shades  china cabinet, china closet
sunglass    loupe, jeweler's loupe  sunglasses, dark glasses, shades  car mirror
car mirror  bubble      spotlight, spot  sunglass  
tub, vat    bathtub, bathing tub, bath, tub  bucket, pail  tricycle, trike, velocipede
hourglass   goblet      water tower  nail      
spotlight, spot  shower cap  thimble     gong, tam-tam
spotlight, spot  soap dispenser  pill bottle  toilet seat
face powder  puck, hockey puck  sunglass    water bottle
face powder  screw       puck, hockey puck  gong, tam-tam
car mirror  sunglass    spotlight, spot  pick, plectrum, plectron
hair slide  safety pi paintbrush  necklace  
sombrero    cowboy hat, ten-gallohat  bubble      swing     
face powder  spotlight, spot  sunscreen, sunblock, sublocker  perfume, essence
thimble     strainer    goblet      nail      
airship, dirigible  parachute, chute  spotlight, spot  seashore, coast, seacoast, sea-coast
hamster     guinea pig, Cavia cobaya  beaver      mink      
thimble     strainer    spotlight, spot  pill bottle
hair slide  face powder  shower cap  vase      
shower cap  chambered nautilus, pearly nautilus, nautilus  hair slide  honeycomb 
chocolate sauce, chocolate syrup  pretzel     nematode, nematode worm, roundworm  pick, plectrum, plectron
pick, plectrum, plectro spotlight, spot  thimble     perfume, essence
killer whale, killer, orca, grampus, sea wolf, Orcinus orca  bathing cap, swimming cap  paddle, boat paddle  paintbrush
studio couch, day bed  lampshade, lamp shade  goblet      four-poster
loupe, jeweler's loupe  pick, plectrum, plectro spotlight, spot  toilet tissue, toilet paper, bathroom tissue
face powder  bonnet, poke bonnet  mortar      wool, woolen, woollen
spotlight, spot  car mirror  loupe, jeweler's loupe  sunglass  
planetarium  fireboat    spotlight, spot  dome      
sunglass    sunglasses, dark glasses, shades  car mirror  television, televisiosystem
spotlight, spot  toilet seat  shower cap  soap dispenser
bathtub, bathing tub, bath, tub  bubble      tub, vat    hair spray
weasel      hamster     black-footed ferret, ferret, Mustela nigripes  Siamese cat, Siamese
lemo      orange      banana      fig       
Africachameleon, Chamaeleo chamaeleo banded gecko  scorpio   frilled lizard, Chlamydosaurus kingi
hamster     mortar      spotlight, spot  nipple    
face powder  loupe, jeweler's loupe  pick, plectrum, plectro sunglass  
wall clock  dining table, board  china cabinet, china closet  toilet seat
piggy bank, penny bank  bubble      conch       bathing cap, swimming cap
lab coat, laboratory coat  picket fence, paling  spotlight, spot  hourglass 
wig         cup         teddy, teddy bear  wool, woolen, woollen
weevil      scorpio   lacewing, lacewing fly  tick      
face powder  bathing cap, swimming cap  golf ball   shower cap
pill bottle  toilet seat  loupe, jeweler's loupe  mixing bowl
hair slide  necklace    coil, spiral, volute, whorl, helix  pretzel   
tripod      snowplow, snowplough  tricycle, trike, velocipede  crutch    
palace      triumphal arch  monastery   cinema, movie theater, movie theatre, movie house, picture palace
car mirror  spotlight, spot  loupe, jeweler's loupe  sunglass  
nipple      pill bottle  hair slide  bubble    
car mirror  sunglass    television, televisiosystem  fountai 
sunglass    car mirror  sunglasses, dark glasses, shades  loupe, jeweler's loupe
Arctic fox, white fox, Alopex lagopus  white wolf, Arctic wolf, Canis lupus tundrarum  piggy bank, penny bank  kuvasz    
cup         shower cap  pitcher, ewer  vase      
chimpanzee, chimp, Patroglodytes  orangutan, orang, orangutang, Pongo pygmaeus  siamang, Hylobates syndactylus, Symphalangus syndactylus  bubble    
paper towel  face powder  toilet tissue, toilet paper, bathroom tissue  thimble   
car mirror  fountai   parachute, chute  sunglass  
tub, vat    bathtub, bathing tub, bath, tub  hair spray  groom, bridegroom
perfume, essence  goblet      vase        pickelhaube
horned viper, cerastes, sand viper, horned asp, Cerastes cornutus  hognose snake, puff adder, sand viper  sidewinder, horned rattlesnake, Crotalus cerastes  knot      
sunglass    sunglasses, dark glasses, shades  bubble      Petri dish
spotlight, spot  bubble      loupe, jeweler's loupe  bathtub, bathing tub, bath, tub
hair spray  coffee mug  paper towel  lotio   
screw       hair slide  golf ball   pick, plectrum, plectron
spotlight, spot  perfume, essence  sunglass    sunglasses, dark glasses, shades
face powder  sunscreen, sunblock, sublocker  spotlight, spot  lotio   
thimble     spotlight, spot  lampshade, lamp shade  paper towel
hair slide  necklace    thimble     coil, spiral, volute, whorl, helix
spotlight, spot  toilet seat  face powder  soap dispenser
thimble     digital watch  spotlight, spot  perfume, essence
spotlight, spot  toaster     loupe, jeweler's loupe  sunglasses, dark glasses, shades
paintbrush  spotlight, spot  face powder  vase      
hamster     patas, hussar monkey, Erythrocebus patas  meerkat, mierkat  loupe, jeweler's loupe
face powder  tennis ball  golf ball   maraca    
spotlight, spot  pomegranate  shower cap  balloo  
spotlight, spot  water tower  bubble      dome      
jellyfish   nematode, nematode worm, roundworm  chambered nautilus, pearly nautilus, nautilus  strawberry
sunglass    sunglasses, dark glasses, shades  airship, dirigible  car mirror
hamster     screw       Chihuahua   hair slide
bubble      bathing cap, swimming cap  car mirror  spotlight, spot
face powder  wool, woolen, woolle paper towel  nematode, nematode worm, roundworm
spotlight, spot  loupe, jeweler's loupe  puck, hockey puck  wall clock
bubble      Petri dish  face powder  spotlight, spot
pencil sharpener  nipple      mortar      perfume, essence
Arctic fox, white fox, Alopex lagopus  kit fox, Vulpes macrotis  grey fox, gray fox, Urocyocinereoargenteus  weasel    
face powder  shower cap  pick, plectrum, plectro plastic bag
hair slide  daisy       strainer    pinwheel  
soccer ball  tennis ball  rugby ball  baseball  
bubble      hourglass   spotlight, spot  printer   
puck, hockey puck  pick, plectrum, plectro analog clock  loupe, jeweler's loupe
missile     water tower  airship, dirigible  projectile, missile
spotlight, spot  loupe, jeweler's loupe  pick, plectrum, plectro bubble    
loupe, jeweler's loupe  spotlight, spot  screw       car mirror
face powder  hair slide  broccoli    cauliflower
ox          bighorn, bighorsheep, cimarron, Rocky Mountaibighorn, Rocky Mountaisheep, Ovis canadensis  kelpie      Doberman, Dobermapinscher
nipple      bonnet, poke bonnet  cowboy hat, ten-gallohat  teapot    
swing       balance beam, beam  tricycle, trike, velocipede  barrow, gardecart, lawcart, wheelbarrow
lacewing, lacewing fly  cicada, cicala  fly         ruffed grouse, partridge, Bonasa umbellus
loupe, jeweler's loupe  spotlight, spot  bubble      strainer  
speedboat   liner, ocealiner  fireboat    amphibian, amphibious vehicle
spotlight, spot  bow tie, bow-tie, bowtie  toilet seat  bannister, banister, balustrade, balusters, handrail
hair slide  strainer    honeycomb   golf ball 
thimble     perfume, essence  saltshaker, salt shaker  goblet    
ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  Arctic fox, white fox, Alopex lagopus  browbear, bruin, Ursus arctos  white wolf, Arctic wolf, Canis lupus tundrarum
coil, spiral, volute, whorl, helix  screw       chai      paper towel
dome        thimble     mosque      spotlight, spot
shower cap  jellyfish   isopod      spotlight, spot
screw       washbasin, handbasin, washbowl, lavabo, wash-hand basi mortar      hammer    
langur      titi, titi monkey  gibbon, Hylobates lar  marmoset  
feather boa, boa  bathing cap, swimming cap  shower cap  groom, bridegroom
face powder  hair slide  toilet seat  shower cap
shower cap  sunglasses, dark glasses, shades  sunglass    face powder
plate rack  matchstick  nail        golf ball 
alp         loupe, jeweler's loupe  face powder  car mirror
hamster     weasel      polecat, fitch, foulmart, foumart, Mustela putorius  black-footed ferret, ferret, Mustela nigripes
loupe, jeweler's loupe  bubble      spotlight, spot  shower cap
isopod      weevil      chambered nautilus, pearly nautilus, nautilus  leafhopper
spotlight, spot  goblet      water bottle  perfume, essence
vase        water jug   pitcher, ewer  goblet    
sunglasses, dark glasses, shades  sunglass    car mirror  loupe, jeweler's loupe
hoopskirt, crinoline  gow       brassiere, bra, bandeau  overskirt 
wool, woolen, woolle face powder  bib         purse     
matchstick  golf ball   cup         dough     
isopod      trilobite   chambered nautilus, pearly nautilus, nautilus  screw     
Chihuahua   Italiagreyhound  Ibizahound, IbizaPodenco  bath towel
cornet, horn, trumpet, trump  loupe, jeweler's loupe  trombone    French horn, horn
paper towel  toilet tissue, toilet paper, bathroom tissue  pick, plectrum, plectro face powder
stupa, tope  fountai   bubble      pedestal, plinth, footstall
jellyfish   bubble      balloo    ant, emmet, pismire
golf ball   ping-pong ball  pill bottle  spotlight, spot
spotlight, spot  loupe, jeweler's loupe  car mirror  pick, plectrum, plectron
wig         bubble      hair spray  pick, plectrum, plectron
spotlight, spot  bubble      golf ball   loupe, jeweler's loupe
hair slide  cauliflower  bell pepper  vase      
digital watch  wall clock  digital clock  analog clock
spotlight, spot  loupe, jeweler's loupe  hourglass   pick, plectrum, plectron
dome        pickelhaube  table lamp  perfume, essence
coyote, prairie wolf, brush wolf, Canis latrans  red wolf, maned wolf, Canis rufus, Canis niger  timber wolf, grey wolf, gray wolf, Canis lupus  grey fox, gray fox, Urocyocinereoargenteus
tennis ball  wool, woolen, woolle face powder  baseball  
car mirror  fountai   caldron, cauldro goblet    
bubble      spotlight, spot  lab coat, laboratory coat  torch     
pencil sharpener  pot, flowerpot  ice cream, icecream  hair slide
jellyfish   shower cap  scorpio   bubble    
banded gecko  whiptail, whiptail lizard  agama       alligator lizard
swimming trunks, bathing trunks  bathing cap, swimming cap  bikini, two-piece  maillot, tank suit
Indiaelephant, Elephas maximus  bathing cap, swimming cap  swimming trunks, bathing trunks  tub, vat  
shower cap  chambered nautilus, pearly nautilus, nautilus  spotlight, spot  perfume, essence
toilet seat  wall clock  pick, plectrum, plectro jigsaw puzzle
spotlight, spot  medicine chest, medicine cabinet  perfume, essence  toilet seat
face powder  wool, woolen, woolle shower cap  tennis ball
fountai   bubble      harp        sunglass  
bubble      jellyfish   goblet      spotlight, spot
otter       Yorkshire terrier  Norfolk terrier  browbear, bruin, Ursus arctos
barbell     dumbbell    balance beam, beam  horizontal bar, high bar
spotlight, spot  safe        hourglass   medicine chest, medicine cabinet
bonnet, poke bonnet  nipple      diaper, nappy, napki tub, vat  
sunglass    sunglasses, dark glasses, shades  bubble      spotlight, spot
tabby, tabby cat  vase        mixing bowl  pick, plectrum, plectron
dome        mosque      planetarium  spotlight, spot
oil filter  mouse, computer mouse  thimble     perfume, essence
bikini, two-piece  maillot, tank suit  maillot     bathtub, bathing tub, bath, tub
pill bottle  hair slide  coil, spiral, volute, whorl, helix  necklace  
Germashepherd, Germashepherd dog, Germapolice dog, alsatia Chihuahua   golderetriever  Labrador retriever
spotlight, spot  thimble     water bottle  screw     
browbear, bruin, Ursus arctos  spotlight, spot  thimble     bubble    
hair slide  pick, plectrum, plectro screw       safety pin
face powder  bonnet, poke bonnet  wool, woolen, woolle sea urchin
groom, bridegroom  panpipe, pandeapipe, syrinx  bonnet, poke bonnet  harp      
golf ball   baseball    tennis ball  face powder
radio telescope, radio reflector  bubble      spotlight, spot  golf ball 
pick, plectrum, plectro puck, hockey puck  thimble     chocolate sauce, chocolate syrup
screw       grey fox, gray fox, Urocyocinereoargenteus  bubble      kit fox, Vulpes macrotis
fig         butternut squash  acorsquash  lemo    
shower cap  fountai   bubble      triceratops
hair slide  safety pi chai      carbonara 
umbrella    shower cap  plastic bag  hoopskirt, crinoline
toilet seat  mousetrap   liner, ocealiner  dock, dockage, docking facility
sunglass    consomme    bubble      sunglasses, dark glasses, shades
lab coat, laboratory coat  bulletproof vest  jersey, T-shirt, tee shirt  miniskirt, mini
starfish, sea star  screw       matchstick  slug      
pick, plectrum, plectro bathing cap, swimming cap  perfume, essence  golf ball 
face powder  pencil sharpener  cup         honeycomb 
Arctic fox, white fox, Alopex lagopus  ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  white wolf, Arctic wolf, Canis lupus tundrarum  Eskimo dog, husky
wig         chaimail, ring mail, mail, chaiarmor, chaiarmour, ring armor, ring armour  pick, plectrum, plectro wool, woolen, woollen
puck, hockey puck  face powder  barometer   pick, plectrum, plectron
face powder  echidna, spiny anteater, anteater  paintbrush  sea urchin
king penguin, Aptenodytes patagonica  magpie      coffeepot   teapot    
screw       maraca      chambered nautilus, pearly nautilus, nautilus  trilobite 
spotlight, spot  strainer    screw       gasmask, respirator, gas helmet
chimpanzee, chimp, Patroglodytes  otter       macaque     bubble    
perfume, essence  toilet seat  table lamp  lampshade, lamp shade
spotlight, spot  soap dispenser  loupe, jeweler's loupe  toilet seat
face powder  shower cap  loupe, jeweler's loupe  toilet seat
fountai   face powder  pot, flowerpot  cup       
shower cap  honeycomb   alp         face powder
tick        ox          water buffalo, water ox, Asiatic buffalo, Bubalus bubalis  Granny Smith
bubble      spotlight, spot  candle, taper, wax light  face powder
cassette    Polaroid camera, Polaroid Land camera  cassette player  jeep, landrover
car mirror  pick, plectrum, plectro sunglass    loupe, jeweler's loupe
dome        spotlight, spot  cocktail shaker  perfume, essence
spotlight, spot  screw       car mirror  pick, plectrum, plectron
screw       chambered nautilus, pearly nautilus, nautilus  hognose snake, puff adder, sand viper  isopod    
golf ball   spotlight, spot  bathing cap, swimming cap  balloo  
screw       nail        pick, plectrum, plectro electric ray, crampfish, numbfish, torpedo
toilet seat  scale, weighing machine  spotlight, spot  washbasin, handbasin, washbowl, lavabo, wash-hand basin
ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  browbear, bruin, Ursus arctos  Americablack bear, black bear, Ursus americanus, Euarctos americanus  giant panda, panda, panda bear, coobear, Ailuropoda melanoleuca
hair slide  pinwheel    spotlight, spot  daisy     
white wolf, Arctic wolf, Canis lupus tundrarum  Arctic fox, white fox, Alopex lagopus  hare        kit fox, Vulpes macrotis
shower cap  head cabbage  lampshade, lamp shade  wig       
thimble     Granny Smith  saltshaker, salt shaker  strainer  
bathtub, bathing tub, bath, tub  tub, vat    wig         maillot   
orangutan, orang, orangutang, Pongo pygmaeus  siamang, Hylobates syndactylus, Symphalangus syndactylus  chimpanzee, chimp, Patroglodytes  gorilla, Gorilla gorilla
colobus, colobus monkey  bathing cap, swimming cap  loupe, jeweler's loupe  pick, plectrum, plectron
banana      hermit crab  strawberry  knot      
nipple      cup         nematode, nematode worm, roundworm  mortar    
tick        cup         bubble      tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
fireboat    car mirror  fountai   safety pin
vase        cauliflower  hen-of-the-woods, heof the woods, Polyporus frondosus, Grifola frondosa  bee       
face powder  banded gecko  starfish, sea star  Petri dish
shower cap  plate       chambered nautilus, pearly nautilus, nautilus  hermit crab
face powder  chambered nautilus, pearly nautilus, nautilus  maraca      hair slide
cauliflower  cor       ear, spike, capitulum  pill bottle
spotlight, spot  loupe, jeweler's loupe  sunglasses, dark glasses, shades  sunglass  
fountai   hourglass   bubble      washbasin, handbasin, washbowl, lavabo, wash-hand basin
hair slide  necklace    pill bottle  bubble    
spotlight, spot  shower cap  goblet      loupe, jeweler's loupe
ocarina, sweet potato  saltshaker, salt shaker  eft         axolotl, mud puppy, Ambystoma mexicanum
spotlight, spot  hourglass   loupe, jeweler's loupe  soap dispenser
pick, plectrum, plectro face powder  bathing cap, swimming cap  Granny Smith
Bedlingtoterrier  toy poodle  miniature poodle  standard poodle
face powder  bubble      Petri dish  jellyfish 
pretzel     pill bottle  cor       plate     
hand-held computer, hand-held microcomputer  space bar   crossword puzzle, crossword  rule, ruler
pill bottle  thimble     plate       screw     
tractor     magnetic compass  spotlight, spot  canno   
hare        grey fox, gray fox, Urocyocinereoargenteus  wood rabbit, cottontail, cottontail rabbit  fox squirrel, easterfox squirrel, Sciurus niger
swing       gong, tam-tam  shield, buckler  caldron, cauldron
cauliflower  cup         consomme    mixing bowl
necklace    lampshade, lamp shade  gong, tam-tam  perfume, essence
Americachameleon, anole, Anolis carolinensis  greelizard, Lacerta viridis  Africachameleon, Chamaeleo chamaeleo banded gecko
chimpanzee, chimp, Patroglodytes  orangutan, orang, orangutang, Pongo pygmaeus  bubble      gorilla, Gorilla gorilla
airship, dirigible  airliner    warplane, military plane  corkscrew, bottle screw
pill bottle  cor       screw       ear, spike, capitulum
spotlight, spot  toilet seat  bubble      bathtub, bathing tub, bath, tub
sunglass    sunglasses, dark glasses, shades  spotlight, spot  loupe, jeweler's loupe
pick, plectrum, plectro nematode, nematode worm, roundworm  spotlight, spot  pill bottle
pick, plectrum, plectro spotlight, spot  hair slide  strainer  
perfume, essence  spotlight, spot  mouse, computer mouse  soap dispenser
bath towel  teddy, teddy bear  coil, spiral, volute, whorl, helix  knot      
spotlight, spot  bubble      perfume, essence  balloo  
conch       bell pepper  mortar      potter's wheel
spotlight, spot  isopod      measuring cup  shower cap
spotlight, spot  toilet seat  plate rack  nail      
spotlight, spot  bubble      airship, dirigible  bell cote, bell cot
face powder  sunscreen, sunblock, sublocker  soap dispenser  lotio   
terrapi   loggerhead, loggerhead turtle, Caretta caretta  mud turtle  leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
dough       burrito     conch       French loaf
macaque     gibbon, Hylobates lar  orangutan, orang, orangutang, Pongo pygmaeus  knot      
pill bottle  matchstick  rubber eraser, rubber, pencil eraser  ping-pong ball
titi, titi monkey  marmoset    guinea pig, Cavia cobaya  capuchin, ringtail, Cebus capucinus
banded gecko  whiptail, whiptail lizard  alligator lizard  scorpio 
bubble      loupe, jeweler's loupe  sunglass    red wine  
pill bottle  hair slide  bubble      perfume, essence
coil, spiral, volute, whorl, helix  cup         hair slide  nematode, nematode worm, roundworm
ibex, Capra ibex  gazelle     bighorn, bighorsheep, cimarron, Rocky Mountaibighorn, Rocky Mountaisheep, Ovis canadensis  impala, Aepyceros melampus
sunglass    seashore, coast, seacoast, sea-coast  sunglasses, dark glasses, shades  web site, website, internet site, site
shower cap  bee         spotlight, spot  loupe, jeweler's loupe
plate       isopod      shower cap  spotlight, spot
pill bottle  paper towel  perfume, essence  toilet tissue, toilet paper, bathroom tissue
face powder  bonnet, poke bonnet  wool, woolen, woolle pick, plectrum, plectron
chambered nautilus, pearly nautilus, nautilus  isopod      barracouta, snoek  pick, plectrum, plectron
banded gecko  leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea  meerkat, mierkat  terrapi 
coil, spiral, volute, whorl, helix  face powder  mortar      paper towel
shower cap  bathing cap, swimming cap  bathtub, bathing tub, bath, tub  wig       
pill bottle  nipple      lotio     cup       
shower cap  vestment    bonnet, poke bonnet  mask      
car mirror  golf ball   sunglass    sunglasses, dark glasses, shades
radio telescope, radio reflector  spotlight, spot  solar dish, solar collector, solar furnace  hourglass 
thimble     mixing bowl  cup         trilobite 
patas, hussar monkey, Erythrocebus patas  guenon, guenomonkey  macaque     marmot    
car mirror  sunglass    sunglasses, dark glasses, shades  television, televisiosystem
face powder  saltshaker, salt shaker  spotlight, spot  pill bottle
shower cap  hoopskirt, crinoline  gow       bonnet, poke bonnet
crash helmet  spotlight, spot  soap dispenser  pencil sharpener
face powder  golf ball   bonnet, poke bonnet  sea urchin
golf ball   ping-pong ball  baseball    tennis ball
spotlight, spot  shower cap  toilet seat  loupe, jeweler's loupe
zebra       screw       maraca      baseball  
partridge   ruffed grouse, partridge, Bonasa umbellus  bustard     quail     
face powder  strawberry  honeycomb   thimble   
hourglass   dining table, board  mosquito net  table lamp
dough       face powder  ice cream, icecream  shower cap
pick, plectrum, plectro shower cap  face powder  toilet seat
cup         loupe, jeweler's loupe  spotlight, spot  banjo     
zebra       triceratops  maraca      chambered nautilus, pearly nautilus, nautilus
plate       caopener, tiopener  spotlight, spot  loupe, jeweler's loupe
face powder  fountai   spotlight, spot  bonnet, poke bonnet
screw       pretzel     pick, plectrum, plectro bubble    
banded gecko  alligator lizard  scorpio   whiptail, whiptail lizard
sunglass    sunglasses, dark glasses, shades  spotlight, spot  car mirror
bubble      loupe, jeweler's loupe  gong, tam-tam  jellyfish 
loupe, jeweler's loupe  sunglass    sunglasses, dark glasses, shades  car mirror
spotlight, spot  goblet      perfume, essence  thimble   
pencil sharpener  jack-o'-lanter wall clock  vase      
pill bottle  safety pi hair slide  ping-pong ball
golf ball   ping-pong ball  hair slide  pill bottle
car mirror  sunglasses, dark glasses, shades  sunglass    pick, plectrum, plectron
jigsaw puzzle  spotlight, spot  airship, dirigible  web site, website, internet site, site
car mirror  spotlight, spot  cornet, horn, trumpet, trump  sunglass  
cup         spotlight, spot  remote control, remote  loupe, jeweler's loupe
screw       pick, plectrum, plectro nail        hourglass 
chambered nautilus, pearly nautilus, nautilus  hair slide  isopod      screw     
puck, hockey puck  pick, plectrum, plectro face powder  loupe, jeweler's loupe
shower cap  grey fox, gray fox, Urocyocinereoargenteus  Arctic fox, white fox, Alopex lagopus  coyote, prairie wolf, brush wolf, Canis latrans
balloo    sunglass    goblet      vase      
toilet seat  printer     spotlight, spot  photocopier
isopod      spotlight, spot  scorpio   nematode, nematode worm, roundworm
jellyfish   hermit crab  strawberry  sea urchin
soccer ball  ping-pong ball  tub, vat    maraca    
sunglass    spotlight, spot  loupe, jeweler's loupe  bubble    
pill bottle  matchstick  cup         rubber eraser, rubber, pencil eraser
bathtub, bathing tub, bath, tub  tub, vat    spotlight, spot  washbasin, handbasin, washbowl, lavabo, wash-hand basin
sunglass    sunglasses, dark glasses, shades  car mirror  bubble    
screw       scorpio   pick, plectrum, plectro loupe, jeweler's loupe
pill bottle  matchstick  cup         ping-pong ball
spotlight, spot  abaya       umbrella    dumbbell  
airship, dirigible  radio telescope, radio reflector  warplane, military plane  parachute, chute
Arabiacamel, dromedary, Camelus dromedarius  bikini, two-piece  bathing cap, swimming cap  swimming trunks, bathing trunks
face powder  drum, membranophone, tympa pick, plectrum, plectro sombrero  
spotlight, spot  microphone, mike  Windsor tie  buckle    
desk        china cabinet, china closet  dining table, board  grand piano, grand
chambered nautilus, pearly nautilus, nautilus  hair slide  coil, spiral, volute, whorl, helix  pick, plectrum, plectron
shower cap  loupe, jeweler's loupe  bonnet, poke bonnet  wig       
soap dispenser  medicine chest, medicine cabinet  perfume, essence  toilet seat
spotlight, spot  magnetic compass  hourglass   perfume, essence
loupe, jeweler's loupe  spotlight, spot  oil filter  screw     
white wolf, Arctic wolf, Canis lupus tundrarum  Arctic fox, white fox, Alopex lagopus  hare        meerkat, mierkat
spotlight, spot  crash helmet  hourglass   sunglass  
spotlight, spot  shower cap  bubble      loupe, jeweler's loupe
conch       warthog     wombat      grey fox, gray fox, Urocyocinereoargenteus
sunglass    sunglasses, dark glasses, shades  bubble      scorpio 
isopod      bell pepper  slug        ice cream, icecream
loupe, jeweler's loupe  spotlight, spot  sunglass    bubble    
pick, plectrum, plectro shower cap  loupe, jeweler's loupe  spotlight, spot
shower cap  spotlight, spot  goblet      lampshade, lamp shade
radio telescope, radio reflector  analog clock  airship, dirigible  wall clock
fountai   bubble      fireboat    torch     
ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  spotlight, spot  soft-coated wheateterrier  weasel    
spotlight, spot  toaster     bullet train, bullet  soap dispenser
tick        pick, plectrum, plectro loupe, jeweler's loupe  thunder snake, worm snake, Carphophis amoenus
perfume, essence  soap dispenser  toilet seat  face powder
bubble      maraca      ping-pong ball  nipple    
spotlight, spot  hourglass   lab coat, laboratory coat  scale, weighing machine
golf ball   ping-pong ball  pill bottle  maraca    
vase        perfume, essence  grand piano, grand  dining table, board
ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  Arctic fox, white fox, Alopex lagopus  macaque     golderetriever
toilet tissue, toilet paper, bathroom tissue  paper towel  screw       pill bottle
face powder  pick, plectrum, plectro loupe, jeweler's loupe  spotlight, spot
hare        wood rabbit, cottontail, cottontail rabbit  hamster     fox squirrel, easterfox squirrel, Sciurus niger
balloo    bathing cap, swimming cap  bubble      shower cap
shower cap  ice cream, icecream  chambered nautilus, pearly nautilus, nautilus  conch     
shower cap  vestment    wig         kimono    
viaduct     steel arch bridge  fireboat    pier      
hair spray  cup         wig         bubble    
sunglass    vase        sunglasses, dark glasses, shades  golf ball 
pick, plectrum, plectro radio telescope, radio reflector  wall clock  analog clock
piggy bank, penny bank  bubble      bathing cap, swimming cap  web site, website, internet site, site
piggy bank, penny bank  spotlight, spot  toaster     pencil sharpener
ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  weasel      Arctic fox, white fox, Alopex lagopus  hamster   
spotlight, spot  car mirror  parachute, chute  bubble    
hay         shower cap  balloo    broccoli  
pencil sharpener  face powder  plate       vase      
necklace    knot        pill bottle  cup       
shower cap  face powder  lemo      plastic bag
vase        goblet      spotlight, spot  perfume, essence
screw       nail        pick, plectrum, plectro radio telescope, radio reflector
bassinet    shower cap  bonnet, poke bonnet  hoopskirt, crinoline
shower cap  radio telescope, radio reflector  parachute, chute  bathing cap, swimming cap
cauliflower  face powder  ice cream, icecream  plate     
sunglasses, dark glasses, shades  hair slide  sunglass    tray      
speedboat   hair slide  wreck       sunglass  
ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  ocarina, sweet potato  dugong, Dugong dugo Bedlingtoterrier
banded gecko  weevil      isopod      thimble   
pick, plectrum, plectro face powder  nematode, nematode worm, roundworm  chambered nautilus, pearly nautilus, nautilus
quill, quill pe piggy bank, penny bank  goblet      isopod    
necklace    pill bottle  perfume, essence  hair slide
vase        perfume, essence  shower cap  hoopskirt, crinoline
thimble     waffle iro spotlight, spot  dome      
marmoset    capuchin, ringtail, Cebus capucinus  titi, titi monkey  guenon, guenomonkey
valley, vale  alp         face powder  shower cap
spotlight, spot  shower cap  screw       loupe, jeweler's loupe
spotlight, spot  shower cap  pick, plectrum, plectro maraca    
pill bottle  dumbbell    screw       loupe, jeweler's loupe
spotlight, spot  bathing cap, swimming cap  car mirror  sunglass  
plate       pick, plectrum, plectro toilet seat  face powder
pick, plectrum, plectro capuchin, ringtail, Cebus capucinus  macaque     loupe, jeweler's loupe
pill bottle  ping-pong ball  cup         matchstick
shower cap  bathing cap, swimming cap  hoopskirt, crinoline  cup       
spotlight, spot  toilet seat  soap dispenser  sunglass  
spotlight, spot  crash helmet  perfume, essence  bubble    
spotlight, spot  chime, bell, gong  screw       hourglass 
golf ball   plate       toilet seat  pick, plectrum, plectron
spotlight, spot  Petri dish  candle, taper, wax light  pill bottle
bubble      television, televisiosystem  sunglass    sunglasses, dark glasses, shades
gazelle     bighorn, bighorsheep, cimarron, Rocky Mountaibighorn, Rocky Mountaisheep, Ovis canadensis  Arabiacamel, dromedary, Camelus dromedarius  ram, tup  
shower cap  radio telescope, radio reflector  toilet seat  pick, plectrum, plectron
pill bottle  perfume, essence  vase        cup       
face powder  ping-pong ball  mortar      mixing bowl
paper towel  tick        bagel, beigel  Granny Smith
face powder  pick, plectrum, plectro lemo      shower cap
golf ball   tennis ball  puck, hockey puck  balloo  
shower cap  car mirror  face powder  screw     
chambered nautilus, pearly nautilus, nautilus  lemo      jellyfish   spotlight, spot
lotio     cocktail shaker  face powder  hair spray
loupe, jeweler's loupe  pick, plectrum, plectro pencil sharpener  sunglass  
barspider, Araneus cavaticus  gardespider, Aranea diademata  necklace    ant, emmet, pismire
orangutan, orang, orangutang, Pongo pygmaeus  chimpanzee, chimp, Patroglodytes  gorilla, Gorilla gorilla  wig       
paper towel  toilet tissue, toilet paper, bathroom tissue  pick, plectrum, plectro chocolate sauce, chocolate syrup
bell cote, bell cot  mosque      dome        analog clock
maraca      dumbbell    balance beam, beam  sunglass  
sunglass    sunglasses, dark glasses, shades  pick, plectrum, plectro plate     
radio telescope, radio reflector  rugby ball  airship, dirigible  spotlight, spot
